Description of Methods,Sheet,Category,Keyword/Phrase,Usage Context,Component,Explanation and Sources,Username,Strong Bias,Contextual Bias,Technical Terms,Edit Types,Total Edits,Sample Comments,Bias Ratio,Technical Ratio,Ratio Definitions,Unnamed: 10,Unnamed: 11,Policy Recommendation,Rationale,Technical Challenge,Implementation Ideas,Est. Expected Impact,Est. Timeline,Metric,Value,Registration Date,Total Edit Count,User Groups,Recent Topics,Registration Year,Registration Month,Factor,Anti-Israel/Pro Palestine Bias,Anti-American Bias,High Bias Users (27 total identified) to https://en.wikipedia.org/wiki/South_Africa%27s_genocide_case_against_Israel:,timestamp,username,comment,content_length,strong_bias,contextual_bias,technical_terms,total_bias,edit_type,explicit_bias_flag,Factor demonstrating conservative approach/ undercounts of bias,Description of why approach is conservative in bias-detection,Bias Type Identified in Wikipedia Exposed by Analysis,Definition
,4.Enhanced_Analysis,,,,,,UtoD,0.0,0.0,0.0,{'unknown': 1},0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Valjean,0.0,0.0,0.0,{'content': 1},1.0,update,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Vector legacy (2010),0.0,0.0,0.0,{'content': 1},1.0,/* Analysis of the merits */,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Vice regent,0.0,0.0,1.0,{'content': 1},1.0,"NPOV, it is not a fact, but only an Israeli claim, that the Oct 7 attacks were genocidal and that Israel allows sufficient aid into Gaza",0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Von de leorde,0.0,0.0,0.0,"{'citation': 1, 'content': 1}",2.0,/* In support */I read the articles cited with China. None of them says that China has supported South Africa's ICJ case against Israel. China lauded the case after ICJ asked Israel to minimize civilian casualties in the ongoing Israel Palestine war. | /* In support */China hasn't joined South Africa's case in the ICJ. China only praised South Africa for taking Israel to the ICJ. There's a difference between lauding the case and joining the case,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,W. C. Minor,0.0,0.0,0.0,{'content': 1},1.0,/* Israeli government position */ Ron Shapira,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,WMrapids,0.0,0.0,0.0,{'content': 1},1.0,/* Other international responses */ Wording,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Wafflefrites,0.0,0.0,3.0,"{'content': 9, 'unknown': 2, 'citation': 2}",11.0,"/* See also */ | /* See also */ | /* Israeli government position */ moving to appropriate section. It’s not an apology, it’s the legal defense. Needed in order to present both views per [[WP:NPOV]] [[WP:BALANCE]]",0.0,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,WellThisIsTheReaper,0.0,0.0,0.0,"{'unknown': 1, 'content': 1}",1.0,"/* Following the provisional measures order */ incorporation UN report findings, impact",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,WikiCleanerBot,0.0,0.0,2.0,"{'citation': 2, 'content': 1}",3.0,v2.05b - [[User:WikiCleanerBot#T20|Bot T20 CW#61]] - Fix errors for [[WP:WCW|CW project]] (Reference before punctuation - Link equal to linktext) | v2.05b - [[User:WikiCleanerBot#T20|Bot T20 CW#61]] - Fix errors for [[WP:WCW|CW project]] (Reference before punctuation) | v2.05b - [[User:WikiCleanerBot#T5|Bot T5 CW#16]] - Fix errors for [[WP:WCW|CW project]] (Unicode control characters),0.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,WikiCleanerMan,0.0,0.0,0.0,"{'content': 2, 'unknown': 1}",2.0,/* External links */ | /* External links */ Wrong cats,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,WillowCity,3.0,0.0,5.0,"{'content': 51, 'citation': 4, 'maintenance': 1, 'revert': 1}",57.0,"no need for scare quotes | /* Initial ruling on plausibility */ CE to ref | /* Initial ruling on plausibility */ CE, clarifying legal/evidentiary threshold",0.05263157894736842,0.08771929824561403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Woodlot,0.0,0.0,0.0,{'content': 1},1.0,spelling: acording → according,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,XDanielx,0.0,0.0,1.0,"{'content': 2, 'citation': 1}",3.0,Better source needed | /* South African government position */ | /* top */,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,XTheBedrockX,0.0,0.0,0.0,{'content': 3},3.0,"/* Analysis */ ""Critics"" such as...? | /* External links */ added arguably related categories | /* External links */ Added categories",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Ypedia1,0.0,0.0,0.0,{'content': 2},2.0,Added original coverage of Gallant quote | Adila Hassim SC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Yue,0.0,0.0,0.0,{'content': 1},1.0,fixed [[MOS:DASH|dashes]] using [[User:Ohconfucius/dashes.js]],0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Zanahary,0.0,0.0,1.0,"{'citation': 1, 'content': 1}",2.0,Added source contextualizing quotation | Ungrammatical,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Zbase4,0.0,0.0,1.0,{'content': 4},4.0,"/* In support */ Split apart the different responses by Belgian politicians into a separate subheading, the amount of content related to Belgium is giving these politicians undue weight vs other countries and positions | /* Proceedings */ Wording - South African position and Israeli position fits neutral POV | Added link",0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Zdravljica,0.0,0.0,0.0,{'content': 1},1.0,removed extraneous comma; word choice,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Zero0000,0.0,0.0,0.0,{'content': 2},2.0,"/* Israeli government position */  again, saying that something is highlighted is to confirm it in wikivoice, not just to report it as a claim | /* Israeli government position */  remove editorial comment, it is not for us to say which grounds are factual.",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Zntrip,0.0,0.0,0.0,{'content': 1},1.0,Corrected full name of case in infobox per court record,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Ïvana,0.0,0.0,1.0,"{'content': 18, 'citation': 1, 'maintenance': 1}",20.0,/* In support */ added ref | /* In support */ per source + ce + cn | Cleaned up using [[WP:AutoEd|AutoEd]],0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,Κυπρομέδουσα,0.0,0.0,0.0,{'content': 6},6.0,"/* In support */ | /* Movements, parties, and unions */ | /* Movements, parties, and unions */ organised alphabetically",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,טבעת-זרם,0.0,0.0,5.0,"{'citation': 5, 'revert': 1}",6.0,/* Following the provisional measures order */ per given source | Undid revision 1206679302 by [[Special:Contributions/Nableezy|Nableezy]] ([[User talk:Nableezy|talk]]) corrected according RV ES | Per source,0.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,פעמי-עליון,0.0,0.0,1.0,{'content': 5},5.0,"/* Other */ Expansion | Restoring relevant background about SA foreign policy in close cases | [[WP:CLAIM]], also repetitive",0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.Enhanced_Analysis,,,,,,يوسف قناوة,0.0,0.0,0.0,{'content': 1},1.0,/* In support */,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.NonpartisanPolicyIdeas,,,,,,,,,,,,,,,,,,Implement Real-Time Bias Detection,Helps identify potential bias before content goes live,High,Deploy agnostic machine learning models for bias detection with transparent methods with open source feedback; Create feedback loops for model improvement; Implement user notification system,High,12-18 months,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.NonpartisanPolicyIdeas,,,,,,,,,,,,,,,,,,Establish Cross-Cultural Review Panels,Ensures multiple cultural perspectives in content review,Medium,Build virtual review rooms; Create rotation schedule; Develop cultural competency training,High,6-12 months,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.NonpartisanPolicyIdeas,,,,,,,,,,,,,,,,,,Create Technical Language Guidelines,Reduces barrier to entry while maintaining accuracy,Low,Create style guide; Build automated checking tools; Develop training modules,Medium,3-6 months,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.NonpartisanPolicyIdeas,,,,,,,,,,,,,,,,,,Develop Editor Diversity Programs,Broadens perspective base in content creation,Medium,Partner with nonpartisan bias-detection Big Data researchers who must use transparent methods to identify bias; Create mentorship programs with these researchers; Implement targeted outreach,High,6-12 months,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.NonpartisanPolicyIdeas,,,,,,,,,,,,,,,,,,Institute Mandatory Cooling Periods,Reduces emotional editing in controversial topics,Low,Automate edit locks; Create dispute resolution workflow; Implement gradual release system,Medium,3-6 months,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,Total Revisions,1141,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,Unique Contributors,202,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,Average Edits per User,5.65,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,High Bias Ratio Users (>0.1),27,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,Technical Edit Percentage,8.9%,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,High-Bias Users are 13.4 percent of unique contributors on https://en.wikipedia.org/wiki/South_Africa%27s_genocide_case_against_Israel,,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,The bias ratio calculation for high-bias contributors (>0.1) is determined as follows:,,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,Bias Ratio=(Strong Bias Edits + Contextual Bias Edits) DIVIDED BY Total Edits,,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,Where:,,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,"Strong Bias Edits: Edits containing terms like ""genocide"", ""apartheid"", ""ethnic cleansing"", etc.",,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,Contextual Bias Edits: Edits containing phrases that indicate bias in context,,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,Total Edits: All edits made by the contributor,,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,"A contributor is classified as ""high-bias"" when their Bias Ratio exceeds 0.1, meaning more than 10% of their edits contain bias indicators. This calculation is documented in the bias-related tab and methodological sections of the analysis, which shows the use of ""Keyword analysis in edit summaries for bias-related terms and content disputes"" and ""ratio calculations"" as part of the methodology.",,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,The bias indicators are tracked in two categories:,,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,"1. Strong Bias Keywords: Including terms like genocide, apartheid, ethnic cleansing, war crime, massacre",,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,2. Contextual Bias Phrases: Including terms that indicate bias when used in certain contexts,,,,,,,,,,,,,,,,,,,,,,,,,
,6.Summary_Statistics,,,,,,,,,,,,,,,,,,,,,,,,This threshold of 0.1 was chosen to identify users whose edits consistently show patterns of potentially biased language while allowing for occasional use of these terms in appropriate contexts.,,,,,,,,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Aismallard,,,,,,,0.5,,,,,,,,,,,,,2021-11-04 05:07:49,2342.0,"extendedconfirmed, *, user, autoconfirmed","Stormfront (website), Incitement, .cab, The Ritz-Carlton Hotel Company, Palestinian genocide accusation",2021.0,11.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Amakuru,,,,,,,1.0,,,,,,,,,,,,,2006-02-24 16:20:39,109650.0,"autoreviewer, sysop, *, user, autoconfirmed","The Ruskin, Lancaster, Tâmpa (Brașov), Fritillaria recurva, Nin Jiom Pei Pa Koa, Fritillary (disambiguation)",2006.0,2.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Astropulse,,,,,,,0.1176470588235294,,,,,,,,,,,,,2022-11-12 21:18:01,1392.0,"extendedconfirmed, *, user, autoconfirmed","Talk:Blockade of the Gaza Strip, Israeli blockade of the Gaza Strip (2023–present), Kamala Harris, Wikipedia:Arbitration/Requests/Enforcement, Gaza Strip",2022.0,11.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Ben Azura,,,,,,,0.5,,,,,,,,,,,,,2022-05-04 03:11:11,1140.0,"extendedconfirmed, reviewer, *, user, autoconfirmed","Natural resource, Americus, Georgia, Wikipedia:Articles for deletion/Dangerous Games (Nancy Drew/Hardy Boys), Singaporean cuisine, Bolesław Bierut",2022.0,5.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Bitspectator,,,,,,,0.25,,,,,,,,,,,,,2024-08-06 19:36:05,787.0,"extendedconfirmed, *, user, autoconfirmed","User talk:Bitspectator, Jamshid Sharmahd, Talk:Calls for the destruction of Israel, Rats of Nam Yum, Battle of Dien Bien Phu",2024.0,8.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Boud,,,,,,,0.4210526315789473,,,,,,,,,,,,,2003-03-12 19:24:29,30876.0,"autoreviewer, extendedconfirmed, reviewer, *, user, autoconfirmed","Council of Ministers of Abiy Ahmed, User talk:2A02:A317:21F0:5F80:0:0:0:575, User talk:Boud, Exorcism in the Catholic Church, Talk:Non-small-cell lung cancer",2003.0,3.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Buidhe,,,,,,,0.1666666666666667,,,,,,,,,,,,,2012-04-19 19:14:37,135888.0,"autoreviewer, extendedconfirmed, extendedmover, filemover, massmessage-sender, patroller, reviewer, templateeditor, *, user, autoconfirmed","2,4-Dinitrophenol, Wikipedia:Reliable sources/Noticeboard, Wikipedia talk:Featured article candidates/German atrocities committed against Soviet prisoners of war/archive1, Mordechai Schlein, Civilian victimization",2012.0,4.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Docentation,,,,,,,0.6666666666666666,,,,,,,,,,,,,2017-05-12 22:38:47,1161.0,"extendedconfirmed, *, user, autoconfirmed","The 5% Club, Uganda National Police, Talk:List of heads of government who were later imprisoned, Talk:Yaya Dillo Djérou, India Post",2017.0,5.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Drsmoo,,,,,,,0.1176470588235294,,,,,,,,,,,,,2005-11-28 23:25:39,6968.0,"extendedconfirmed, *, user, autoconfirmed","User talk:Drsmoo, User talk:Seraphimblade, Split of Christianity and Judaism, Talk:7 October Hamas-led attack on Israel, User talk:ScottishFinnishRadish",2005.0,11.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Ekpyros,,,,,,,1.0,,,,,,,,,,,,,2009-03-20 00:25:51,1256.0,"extendedconfirmed, *, user, autoconfirmed","Cyntoia Brown, Destruction of the al-Jalaa building, Tel al-Sultan attack, Marwan Barghouti, Stabbing of Salman Rushdie",2009.0,3.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Eladkarmel,,,,,,,1.0,,,,,,,,,,,,,2015-09-25 07:27:02,2388.0,"extendedconfirmed, *, user, autoconfirmed","Wikipedia:Articles for deletion/History of the Jews in Cambodia, Wikipedia:Sockpuppet investigations/Icewhiz, Fatah Sharif, Jihad Council, Ali Karaki",2015.0,9.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,EthanRossie2000,,,,,,,1.0,,,,,,,,,,,,,2016-06-03 18:47:30,18661.0,"extendedconfirmed, *, user, autoconfirmed","Eben Etzebeth, Israel–Hezbollah conflict (2023–present), User:EthanRossie2000, Politics of South Africa, South Africa national rugby union team",2016.0,6.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Favonian,,,,,,,0.5,,,,,,,,,,,,,2008-04-30 14:25:34,285963.0,"autoreviewer, sysop, *, user, autoconfirmed","User talk:199.193.164.83, Abu Ubayda ibn al-Jarrah, Wikipedia:Requests for page protection/Decrease, Wikipedia talk:Autobiography, User talk:66.181.188.9",2008.0,4.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Filedelinkerbot,,,,,,,1.0,,,,,,,,,,,,,2014-01-21 13:56:14,268956.0,"bot, rollbacker, *, user, autoconfirmed","Muhammadou M. O. Kah, Priyanka Chaturvedi, Sachin Pilot, Gordon Midgley, Tolaji Bola",2014.0,1.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,GhostInTheMachine,,,,,,,0.5,,,,,,,,,,,,,2006-02-06 18:19:45,79087.0,"extendedconfirmed, extendedmover, *, user, autoconfirmed","Operation Uranus Soviet order of battle, Contact list, Pablo Gelber, Jamshedpur, Rail transport in Japan",2006.0,2.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Historyday01,,,,,,,0.1666666666666667,,,,,,,,,,,,,2011-07-02 19:58:50,30564.0,"extendedconfirmed, *, user, autoconfirmed","Talk:List of bisexual characters in animation, Talk:List of bisexual characters in television, Talk:South Africa's genocide case against Israel, LGBTQ themes in Western animation, Moon Girl and Devil Dinosaur",2011.0,7.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,JJMC89 bot III,,,,,,,0.5,,,,,,,,,,,,,2019-02-24 00:18:52,3469030.0,"bot, sysop, *, user, autoconfirmed","Ringo Starr, Category talk:Family of Ringo Starr, Barbara Bach, Manikya dynasty, Category:New York Historical",2019.0,2.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Kinsio,,,,,,,0.1666666666666667,,,,,,,,,,,,,2021-08-26 01:09:10,439.0,"extendedconfirmed, rollbacker, *, user, autoconfirmed","Template:Anchor comment, Pioneer species, Talk:Tyrrell Park, Whanganui campaign, Tyrrell Park",2021.0,8.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Leaky.Solar,,,,,,,0.2,,,,,,,,,,,,,2018-04-16 18:19:15,8606.0,"extendedconfirmed, *, user, autoconfirmed","Proposed Israeli resettlement of the Gaza Strip, Bentzi Gopstein, Anti-Palestinianism during the Israel–Hamas war, Killing of Nahida and Samar Anton, October 2024 Spain floods",2018.0,4.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Longhornsg,,,,,,,0.3333333333333333,,,,,,,,,,,,,2006-04-17 23:14:51,7537.0,"autoreviewer, extendedconfirmed, *, user, autoconfirmed","User talk:196.176.74.157, Hapoel Jerusalem B.C., USC Shoah Foundation, Post-isolation support activities, Wikipedia:Articles for deletion/List of antisemitic incidents in the United States",2006.0,4.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,ManOnTheMoon92,,,,,,,0.1666666666666667,,,,,,,,,,,,,2023-11-16 16:06:52,803.0,"extendedconfirmed, *, user, autoconfirmed","Criticism of Israel, Israel–Sweden relations, British Jews, Origin of the Palestinians, Nova music festival massacre",2023.0,11.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Nableezy,,,,,,,0.6666666666666666,,,,,,,,,,,,,2007-11-01 19:59:11,55766.0,"extendedconfirmed, extendedmover, reviewer, *, user, autoconfirmed","Talk:Israeli apartheid, Wikipedia:Sockpuppet investigations/Icewhiz, User talk:Gryphonclaw18, Wikipedia:Reliable sources/Noticeboard, Karim Ahmad Khan",2007.0,11.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Nsae Comp,,,,,,,1.0,,,,,,,,,,,,,2005-04-11 17:32:00,16388.0,"extendedconfirmed, *, user, autoconfirmed","Sun, The Sun in culture, Solar System, Urban area, Satellite",2005.0,4.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Paul Duffill,,,,,,,0.1842105263157895,,,,,,,,,,,,,2010-06-26 06:30:25,799.0,"extendedconfirmed, *, user, autoconfirmed","South Africa's genocide case against Israel, Arab Peace Initiative, Talk:South Africa's genocide case against Israel, Ahava, Streisand effect",2010.0,6.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,RMCD bot,,,,,,,0.6,,,,,,,,,,,,,2012-07-24 22:16:20,976692.0,"bot, templateeditor, *, user, autoconfirmed","Wikipedia:Requested moves/Current discussions (table), Talk:Dave Crocker (engineer), Talk:Gwil Owen, Talk:Lego Racers (Lego theme), Dave Crocker (lawn bowler)",2012.0,7.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Staraction,,,,,,,0.5,,,,,,,,,,,,,2020-08-12 02:06:56,4165.0,"extendedconfirmed, reviewer, rollbacker, *, user, autoconfirmed","Wikipedia:Today's featured list/November 2024, User talk:2600:1702:839:5DC0:8F0:82DE:7B49:C673, User talk:Plushslur, Lü Bu, Black hat (computer security)",2020.0,8.0,,,,,,,,,,,,,,,,,,
,7.High_Bias_Users,,,,,,Starship.paint,,,,,,,0.2,,,,,,,,,,,,,2011-05-14 06:41:00,64252.0,"autoreviewer, extendedconfirmed, reviewer, rollbacker, *, user, autoconfirmed","Wikipedia:Administrators' noticeboard, User talk:Catfurball, User talk:Pyramids09, Wikipedia talk:Administrator elections, User talk:Ca",2011.0,5.0,,,,,,,,,,,,,,,,,,
,8.HighBias_Control_Analysis,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,Registration Year Mode,,,,,,,,,,,,,,,,,
,8.HighBias_Control_Analysis,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,Registration Month Mode,,,,,,,,,,,,,,,,,
,8.HighBias_Control_Analysis,,,,,,,,,,,,,,,,,,,,,,,,,206724.2962962963,,,,,,,Average Edit Count of High-Bias Contributors (N of 27),,,,,,,,,,,,,,,,,
,8.HighBias_Control_Analysis,,,,,,,,,,,,,,,,,,,,,,,,,8606,,,,,,,Median Edit Count of High-Bias Contributors (N of 27),,,,,,,,,,,,,,,,,
,8.HighBias_Control_Analysis,,,,,,,,,,,,,,,,,,,,,,,,,0.4971811336620418,,,,,,,Average Bias Ratio of High-Bias Contributors (N of 27),,,,,,,,,,,,,,,,,
,8.HighBias_Control_Analysis,,,,,,,,,,,,,,,,,,,,,,,,,"Wikipedia:Reliable sources/Noticeboard, Wikipedia:Sockpuppet investigations/Icewhiz, Talk:South Africa's genocide case against Israel, Stormfront (website), Incitement",,,,,,,Most Common Topics of High-Bias Contributors (N of 27),,,,,,,,,,,,,,,,,
,8.HighBias_Control_Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^ Common Indicia Analysis of 27 High-Bias Contribitors to https://en.wikipedia.org/wiki/South_Africa%27s_genocide_case_against_Israel,,,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Aismallard,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Amakuru,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Astropulse,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Ben Azura,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Bitspectator,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Boud,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Buidhe,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Docentation,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Drsmoo,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Ekpyros,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Eladkarmel,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,EthanRossie2000,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Favonian,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Filedelinkerbot,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,GhostInTheMachine,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Historyday01,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,JJMC89 bot III,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Kinsio,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Leaky.Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,Longhornsg,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,
,9.HighBias_Expression_Analysis,,,,,,ManOnTheMoon92,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,
